image_id,split,label,mean_intensity,std_intensity,selection_reason
train_001821,train,2,244.01360544217687,6.4613438657764615,bright
train_020800,train,2,244.14753401360545,3.3196875683660596,bright
train_021374,train,2,243.82142857142858,2.7938677991113976,bright
train_034415,train,2,244.1203231292517,2.0187206911608206,bright
train_041379,train,2,243.97916666666666,2.0790069874473427,bright
train_011643,train,1,45.324829931972786,44.09061204552856,dark
train_022909,train,1,43.71513605442177,43.803990695276035,dark
train_037019,train,1,10.58843537414966,25.193128225705596,dark
train_047433,train,1,40.256802721088434,45.46646410800922,dark
train_063720,train,1,7.3979591836734695,22.776004706552285,dark
train_002977,train,5,241.1781462585034,2.1736240386970436,low_contrast
train_008306,train,5,242.0017006802721,1.7122995931793767,low_contrast
val_003323,val,5,242.2074829931973,1.8358148364299565,low_contrast
